Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
Nouvelle Aquitaine,Deux Sèvres,Hébergement,APLB,MECS des Deux-Sèvres I APLB,9.0,"La Maison Saint-Jérôme, Internat de 9 places d'adolescents de 13 à 18 ans."
Ile de France,Val de Marne,Placement Familial,La VAGA,AE de Cachan I La VAGA,9.0,1 service d’accueil familial pour 9 jeunes.
Hauts de France,Aisne,Hébergement,Association AJP,MECS P'titados I Association AJP,10.0,Groupe mixte vertical en fonctionnement collectif accueillant 10 enfants et adolescents âgés de 6 à 17 ans.
Hauts de France,Aisne,Hébergement,Association AJP,MECS Stud'avenir I Association AJP,10.0,8 adolescents et 2 adolescentes âgés de 14 ans ½ à 17 ans répartis dans 5 studios doubles
Auvergne Rhône Alpes,Allier,Hébergement,Groupe SOS Jeunesse,Foyer d'accueil d'urgence I Groupe SOS Jeunesse,10.0,"Ouverte toute l’année et 24h/24, elle peut accueillir 10 jeunes filles et/ou garçons de 3 à 18 ans en situation de crise familiale, nécessitant une séparation temporaire ou une protection physique ou psychologique."
Auvergne Rhône Alpes,Cantal,Hébergement,ANEF15,MECS Indépendante I ANEF15,10.0,"Jeunes filles mineures de 14 à 18 ans ou jeunes majeures de 18 à 21 ans en situation de rupture familiale, sociale ou professionnelle présentant des difficultés personnelles et/ou relationnelles."
Nouvelle Aquitaine,Charente,Placement à Domicile, Moissons Nouvelles,PAD I Moissons Nouvelles,10.0,"Âge : 6 à 21 ans, mixte"
Bretagne,Cotes d'Armor,Accueil de jour,Association Beauvallon,AE I Association Beauvallon,10.0,L’Accueil de jour est un service de protection. Il propose sur des temps de semaine de remobiliser les jeunes sur des projets et d’apporter un soutien éducatif en lien avec les parents.
Bretagne,Cotes d'Armor,Hébergement,L'Envol 22,MECS Breiz Avel I L'Envol 22,10.0,Enfants de 6 à 12 ans dans le cadre d’un placement administratif ou judiciaire
Bretagne,Cotes d'Armor,Hébergement,L'Envol 22,MECS Le Gentilhommière I L'Envol 22,10.0,Enfants de 6 à 12 ans dans le cadre d’un placement administratif ou judiciaire
Bretagne,Finistère,Hébergement,Apprentis d'Auteuil,MECS Ker Lorois I Apprentis d'Auteuil,10.0,accueillir 10 jeunes garçons et filles âgés de 12 à 18 ans
Bretagne,Finistère,Hébergement,Association Don Bosco,MECS Broustic I Association Don Bosco,10.0,"La Maison du Broustic est située dans un quartier résidentiel proche du centre-ville de Landerneau et des moyens de transport en commun. L’établissement accueille 10 enfants de 6 à 15 ans révolus, confiés au titre de l’Aide Sociale à l’Enfance, dans un cadre administratif et judiciaire."
Bretagne,Finistère,Hébergement,Association Don Bosco,MECS Elorn I Association Don Bosco,8.0,"Situé au centre-ville de Landerneau, le foyer de l’Elorn accueille 10 adolescents de 16 à 21 ans en hébergement collectif confiés au titre de l’Aide Sociale à l’Enfance, dans un cadre administratif et judiciaire."
Bretagne,Finistère,Hébergement,Association Don Bosco,MECS Kerbonne I Association Don Bosco,10.0,"accueille 10 jeunes, garçons et filles, âgés de 15 à 18 ans en hébergement collectif."
Bretagne,Finistère,Hébergement,Fondation Massé-Trévidy,MECS Kerlan I Fondation Massé-Trévidy,10.0,"accueille 10 jeunes garçons et filles, âgés de 13 à 18 ans."
Centre Val de Loire,Indre et Loire,Hébergement,Sauvegarde 39,MNA I Sauvegarde 37,10.0,"proposer aux jeunes Mineurs Non Accompagnés (MNA) de 16 à 18 ans, privés de la protection de leur famille sur le sol français"
Pays de la Loire,Maine et Loire,Hébergement,ASEA 49,SAU d'Angers I ASEA 49,10.0,10 places d’accueil d’urgence pour garçons et filles de 16 à 18 ans
Pays de la Loire,Mayenne,Hébergement,Département de la Mayenne,MECS de Louvigne I Département de la Mayenne ,10.0,Accueil Jeunes Mixtes
Grand Est,Meurthe et Moselle,Hébergement,Association REALISE,MECS Allée Neuve I Association REALISE,10.0,10 enfants et jeunes adolescents âgés de 6 à 16 ans
Bretagne,Morbihan,Hébergement,Apprentis d'Auteuil,AE MNA - Jean-Baptiste Scalabrini I Apprentis d'Auteuil ,131.0,"Cette structure accueille des jeunes Mineurs non accompagnés (MNA), âgés entre 15 et 18 ans. Hébergement diffus sur les villes de Vannes , Lorient et Pontivy. Le service administratif se situe à Vannes."
Grand Est,Hauts de Seine,Accueil de jour,ASE,Maison de l'Avenir,40.0,Ceux-ci cohabiteront le jour avec 40 externes faisant l’objet d’une assistance éducative préventive.
Ile de France,Paris,Hébergement,Asso Jean Cotxet,SERVICE D’ACCUEIL ET D’HEBERGEMENT PROVISOIRE CROIX NIVERT I Asso Jean Coxtet,10.0,"Ce service prend particulièrement en charge des jeunes en errance (fugueurs, mineurs non accompagnés, des jeunes qui mettent en échec les solutions de placement…). Cet accueil se réalise sur une courte durée (de 3 à 6 jours)."
Ile de France,Yvelines,Accueil de jour,Apprentis d'Auteuil,Accueil de Jour Saint-Charles - Madeleine Delbrêl I Apprentis d'Auteuil,10.0,-Accueil éducatif de jour (pour 10 enfants de 10- 18 ans) 
Nouvelle Aquitaine,Deux Sèvres,Hébergement,APLB,MECS des Deux-Sèvres I APLB,10.0,"La Maison des Enfants, Internat de 10 places d'enfants de 6 à 13 ans."
Nouvelle Aquitaine,Deux Sèvres,Hébergement,Union pour l'Enfance,MECS AIRVAULT I Union pour l'Enfance,15.0,Accueil de 15 enfants de 4 à 21 ans en permanence sur la structure et 2 accueils d’appoint
Pays de la Loire,Vendée,Hébergement,Association VISTA,MECS La Courte Echelle I Association VISTA,10.0,"Accueil Mixtes Association récente, créée en 2022"
Nouvelle Aquitaine,Haute Vienne,Hébergement,Association Réinsertion du Limousin,MECS de Limoges I Association Réinsertion du Limousin,15.0,garçons uniquement
Bourgogne Franche Comté,Yonne,Hébergement,La VAGA,AE du Sénonais I La VAGA,10.0,"1 accueil d’urgence, à Cezy, pour 10 enfants de 3 à 18 ans."
Hauts de France,Aisne,Hébergement,Association AJP,MECS Ado'rizon I Association AJP,11.0,"Groupe mixte et vertical, en fonctionnement collectif, composé de 11 enfants et adolescents âgés de 6 à 17 ans"
Hauts de France,Aisne,Hébergement,Association AJP,MECS P'titours I Association AJP,11.0,11 enfants et adolescents âgés de 6 à 17 ans.
Hauts de France,Aisne,Hébergement,Association AJP,MECS Declic'ado I Association AJP,11.0,"Groupe mixte et vertical, composé de 11 jeunes âgés de 6 à 17 ans, en fonctionnement collectif ainsi que deux studios pré semi-autonome."
Bretagne,Ille et Vilaine,Hébergement,Armée du Salut,MECS Les enfants de Rochebonne I Amrée du Salut,30.0,"Le pôle internat :

Le service du Sillon : accueil de 11 adolescents de 12 à 18 ans ;
Le service des Korrigans : accueil de 11 enfants et adolescents de 9 à 18 ans ;
Le service des Timoniers : accueil de 8 enfants de 3 à 8 ans."
Centre Val de Loire,Loiret,Placement Familial,La VAGA,AE de l'Orléanais I La VAGA,11.0,1 accueil familial pour 11 enfants de 0 à 17 ans.
Pays de la Loire,Maine et Loire,Placement Familial,Apprentis d'Auteuil,La Novathèque I Apprentis d'Auteuil,11.0,11 jeunes en famille d’accueil
Pays de la Loire,Maine et Loire,Placement à Domicile,Apprentis d'Auteuil,La Novathèque I Apprentis d'Auteuil,11.0,11 jeunes en PEAD (placement éducatif à domicile) 
Occitanie,Tarn et Garonne,Placement à Domicile,Groupe SOS Jeunesse, PàD de Moissac I Groupe SOS Jeunesse,11.0,"Filles et garçons de 6 à 21 ans, scolarisés ou en formation."
PACA,Hautes Alpes,Hébergement,ADSEA 05,MECS La Recampa I ADSEA 05,12.0,L’établissement est agréé pour accueillir 12 enfants de 6 ans à 18 ans en mixité. Un lit d’urgence et un lit d’accueil modulable susceptibles de recevoir des enfants de 3 ans à 18 ans s’ajoutent à cet effectif.
Grand Est,Aube,Centre Educatif,SE10,CEF I SE10,12.0,"12 garçons âgés de 14 à la majorité.  les jeunes toxicomanes dépendants, ceux présentant une pathologie mentale avérée et lourde, relevant de la psychiatrie ou nécessitant une prise en charge médicale importante ou une assistance pour leur vie quotidienne ne peuvent être admis dans l’établissement. "
Normandie,Calvados,Hébergement,OND,MECS d'Ifs I OND,12.0,15-21 ans et public mixte
Nouvelle Aquitaine,Charente Maritime,Hébergement,APLB,MECS Corail I APLB,12.0,12 enfants mixtes
Nouvelle Aquitaine,Charente Maritime,Hébergement,APLB,MECS Charente I APLB,12.0,12 enfants mixtes
Nouvelle Aquitaine,Charente Maritime,Hébergement,APLB,MECS de Surgères I APLB,12.0,12 enfants mixtes
Centre Val de Loire,Eure et Loir,Accueil de jour,Apprentis d'Auteuil,La loupe | AE de jour I Apprentis d'Auteuil ,12.0,"L’Accueil Educatif de Jour (AEJ) s’adresse à des jeunes du département d’Eure-et-Loir, pour un accompagnement éducatif et qui peuvent être en rupture avec les dispositifs de formation."
Bretagne,Ille et Vilaine,Hébergement,La VAGA,AE Ille-et-Vilaine I La VAGA,12.0,12 jeunes en situation complexe de 11 à 19 ans
Bretagne,Ille et Vilaine,Hébergement,Armée du Salut,MNA Les enfants de Rochebonne I Amrée du Salut,52.0,"Le pôle accueil MNA :

Un service dédié à l’accueil de jeunes mineurs non accompagnés (MNA) autonomes de 5 places pour des adolescents de 15 à 18 ans
Un service dédié à l’accueil de jeunes mineurs non accompagnés (MNA) vulnérables de 11 places pour des adolescents de 12 à 18 ans
Un service dédié à l’accueil de jeunes mineurs non accompagnés (MNA) pour 36 adolescents de 13 à 18 ans en période d’orientation sur 2 sites :
Le service MNA U2A sur le site de Sens-de-Bretagne : accueil de 24 adolescents
Le service MNA U2A sur le site de Saint-Georges de Reintembault : accueil de 12 adolescents"
Centre Val de Loire,Indre,Hébergement,Moissons Nouvelles,MECS (MNA) de Châteauroux I Moissons Nouvelles,21.0,"Nombre de places : 12
13-21ans (Garçons MNA) + 9 semi autonomie"
Auvergne Rhône Alpes,Isère,Hébergement,Le Prado,MECS Le Nid I Le Prado ,12.0,Valeur par défaut
Auvergne Rhône Alpes,Isère,Accueil de jour,La Sauvegarde Isère,Le Village de l'amitié SAJ I La Sauvegarde Isère,12.0,Service d’Accueil de Jour (SAJ) pour les 6/12 ans
Bourgogne Franche Comté,Jura,Placement à Domicile,Juralliance,PAD Prélude I Juralliance,12.0,Valeur par défaut
Bourgogne Franche Comté,Jura,Placement à Domicile,Juralliance,PAD Chez Nous I Jurraliance,12.0,"Placement Éducatif À Domicile (PEAD) : 12 mesures, service autorisé depuis le 1er janvier 2011."
Pays de la Loire,Maine et Loire,Centre Educatif,INALTA,CEF 49 I INALTA ,12.0,le CEF garantit un accueil permanent de 12 mineurs délinquants âgés de 13 à 17 ans.
Normandie,Manche,Hébergement,Centre Départemental,MECS de Graignes I Centre Départemental ,12.0,"Mixtes de 6 à 18ans, 6 jeunes de 6 à 11 ans, adolescents de 12 à 18 ans"
Grand Est,Meurthe et Moselle,Hébergement,Association REALISE,MECS du PFR I Association REALISE,12.0,12 jeunes et adolescent(e)s âgé(e)s de 3 à 12 ans
Grand Est,Meurthe et Moselle,Hébergement,Association REALISE,MECS de Pont I Association REALISE,12.0,12 adolescent(e)s âgés de 15 à 18 ans
Grand Est,Bas Rhin,Centre Educatif,Groupe SOS Jeunesse,CEF de Saverne I Groupe SOS Jeunesse,12.0,Le CEF de Saverne prend en charge 12 garçons mineurs délinquants multirécidivistes et multiréitérants âgés de 13 à 16 ans et demi pour une durée de 6 mois (renouvelable une fois).
Grand Est,Haut Rhin,Centre Educatif,ARSEA,CEF de Mulhouse I ARSEA,12.0,"Le CEF accueille 12 jeunes âgés de 16 à 18 ans, originaires prioritairement du département du Haut-Rhin, de la région Alsace et des départements limitrophes"
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE Pierres Dorées I Acolea,12.0,"Accueil 12 adolescents, en mixité, de 15 à 18 ans (pouvant aller au-delà de la majorité en cas de dérogation) dans une organisation visant l’autonomie."
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE Le Passage I Acolea,12.0,Le Foyer Le Passage dispose d’un agrément ASE et PJJ pour 12 jeunes (filles et garçons) de 14 à 18 ans dont une place d’accueil d’urgence.
Pays de la Loire,Sarthe,Hébergement,ACADEA,MECS Le Colibri I ACADEA,12.0,"Pouponnière, Maison d’Enfants de 0 à 10 ans"
Auvergne Rhône Alpes,Haute Savoie,Hébergement,Championnet,MECS La Maison Bleue I Championnet,12.0,"Assurer les fonctions d’accueil, d’hébergement, de protection et d’accompagnement éducatif de jeunes en difficulté."
Ile de France,Seine et Marne,Hébergement,Groupe SOS Jeunesse,Service d'Accueil Urgence (SAU) La Passerelle I Groupe SOS Jeunesse ,12.0,"La Passerelle accueille 12 adolescents, filles et garçons, âgés de 13 à 18 ans dans le cadre de l’ordonnance du 2 février 1945 et âgés de 13 à 21 ans au titre de l’aide sociale à l’enfance, issus d’Ile-de-France."
Ile de France,Yvelines,Hébergement,Apprentis d'Auteuil,MECS Saint-Charles - Madeleine Delbrêl I Apprentis d'Auteuil,12.0,- Accueil en hébergement collectif (pour 12 enfants de 10-18 ans) à la maison Madeleine Delbrêl
Nouvelle Aquitaine,Vienne,Centre Educatif Fermé,Institut Don Bosco,CEF Le Vigeant I Institut Don Bosco,12.0,mineurs garçons entre 16 ans et 18 ans en alternative à l’incarcération
Nouvelle Aquitaine,Haute Vienne,Centre Educatif,Institut Don Bosco,CEF de Moissannes I Institut Don Bosco,8.0, le CEF accueille 8 jeunes de 14 à 17 ans placés au titre de l’ordonnance 45 relative à l’enfance délinquante pour une durée de 6 mois renouvelable une fois par le magistrat.
Hauts de France,Aisne,Hébergement,Association AJP,MECS Cap'ado I Association AJP,13.0,"Groupe mixte et vertical, composé de 13 jeunes âgés de 6 à 17 ans"
Nouvelle Aquitaine,Charente Maritime,Hébergement,APLB,MECS Bel-Air I APLB,13.0,13 enfants mixtes
Nouvelle Aquitaine,Charente Maritime,Hébergement,APLB,MECS Symphonie I APLB,13.0,13 enfants mixtes
Bourgogne Franche Comté,Jura,Hébergement,Juralliance,Foyer Cap Vie I Juralliance,13.0,"Le Foyer Capvie, géré par Juralliance, a vu le jour en septembre 2001 et accueille des adolescents (filles ou garçons) âgés de 14 à 18 ans."
Normandie,Manche,Hébergement,Centre Départemental,MECS de Donville-les-Bains I Centre Départemental,13.0,Mixtes de 6 à 18ans
Normandie,Manche,Hébergement,Centre Départemental,MECS de Cherbourg-en-Cotentin I Centre Départemental,13.0,Mixtes de 6 à 18ans
Normandie,Manche,Hébergement,Centre Départemental,MECS de Saint-Lô Le Perrey I Centre Départemental,13.0,Mixtes de 6 à 18ans
Normandie,Manche,Hébergement,Centre Départemental,MECS des Avranches I Centre Départemental,13.0,Mixtes de 6 à 18ans
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE Le Relais I Acolea,13.0,"Notre foyer adolescent le Relais accueille aujourd’hui 13 adolescentes de 14 à 18 ans. Situé à Oullins, nos locaux offrent aux jeunes différentes modalité d’accueil en collectif, chambre double ou individuelle, et appartement semi-autonome."
Auvergne Rhône Alpes,Ain,Hébergement,Le Prado,Foyer Les Linières I Le Prado,14.0,"Filles et garçons, âgés de 13 à 18 ans, dont 1 d'urgence"
Auvergne Rhône Alpes,Ain,Hébergement,Le Prado,MECS des Abéanches I Le Prado,14.0,"Filles et garçons, âgés de 16 à 21 ans"
Nouvelle Aquitaine,Charente,AEMO, Moissons Nouvelles,AEMO I Moissons Nouvelles,14.0,"Âge : 6 à 21 ans, mixte"
Bretagne,Cotes d'Armor,Hébergement, Apprentis d'Auteuil,MECS Ker-Anna I Apprentis d'Auteuil,14.0,Accueil de 14 jeunes de 12 à 21 ans dont 3 jeunes majeurs en appartements extérieurs.
Bretagne,Cotes d'Armor,Hébergement,Association Beauvallon,MECS L'Escale I Association Beauvallon,14.0,"L’Escale propose des réponses de protection pour des jeunes filles. Il permet des hébergements collectifs ou des accompagnements individuels selon les besoins des jeunes. Keranstivel propose des réponses de protection pour des jeunes garçons et des jeunes filles, à partir d’un hébergement collectif, individuel ou à partir du lieu de domiciliation des adolescents."
Auvergne Rhône Alpes,Isère,Hébergement,Fondation OVE,MECS Eugène Chavant I Fondation OVE,20.0,"La Maison d’enfants à Autrans accueille des enfants, adolescents et fratries de 5 à 15 ans en difficulté sociale et familiale. La pédagogie institutionnelle est un axe majeur autour de l’accompagnement des enfants."
Auvergne Rhône Alpes,Isère,Hébergement,Orsac,MECS La Clef des Champs I Orsac ,24.0,Enfants 4 à 14ans
Auvergne Rhône Alpes,Isère,Accueil de jour,Orsac,Accueil de Jour I Orsac,36.0,"L’Accueil de jour comprend trois services, dits de niveau 4, qui exercent des mesures judiciaires de PAD (Placement à partir du domicile) ou d’alternative au placement. L’agrément de 36 mesures (0-12 ans) permet également l’exercice de mesures administratives de milieu ouvert de niveau 4."
Auvergne Rhône Alpes,Isère,Accueil de jour,Orsac,Accueil de jour La Clé des Alpes I Orsac,14.0,Valeur par défaut
Bourgogne Franche Comté,Jura,Hébergement,Juralliance,MECS Mesnay I Juralliance,14.0,"L’établissement accueille 14 enfants de 6 à 12 ans, plus 2 places en accueil d’urgence. "
Grand Est,Marne,Hébergement,Lucy Lebon,ITEP de Vitry I Fondation Lucy Lebon,14.0,14 places : 12 en internat et 2 en semi-internat
Grand Est,Meurthe et Moselle,Placement à Domicile,Association REALISE,Placement à domicile Toul I Association REALISE ,14.0,"14 places pour des jeunes et adolescent(e)s âgé(e)s de 0 à 18 ans. En sus, 3 lits dédiés à l’hébergement de repli dans le cadre du SEPAD au sein de la MECS."
Hauts de France,Nord,Hébergement,La Sauvegarde du Nord,MECS Institut Fernand Deligny I La Sauvegarde du Nord,12.0,"6 à 12 ans, confiés par l’Aide Sociale à l’Enfance ou le magistrat pour enfant"
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE Jeunes Majeurs I Acolea,14.0,"Le service appartement SEJM accueille aujourd’hui 14 jeunes de 18 à 21 ans. Nous préparons les jeunes à l’autonomie, c’est pourquoi nous leur proposons de vivre en appartements diffus sur la commune de Villefranche sur Saône. Ils sont ainsi accompagnés par une équipe d’éducateurs mobiles, qui leur rendent visite à l’appartement et les aident dans leurs démarches personnelles et professionnelles."
Ile de France,Yvelines,Placement Familial,Apprentis d'Auteuil,Placement Familial Saint-Charles - Madeleine Delbrêl I Apprentis d'Auteuil,14.0,- Service de placement familial (pour 14 enfants de 0-18 ans)
PACA,Var,Hébergement,Moissons Nouvelles,MECS Les Bougainvilliers I Moissons Nouvelles,14.0,"14 en internat ou en séquentiel dont 1 en studio extérieur 
4-21ans. Mixte"
PACA,Hautes Alpes,Hébergement,Association La Sapinette,MECS La Sapinette I Association La Sapinette ,15.0,Accueil mixte
Occitanie,Aveyron,Hébergement,Association Millau Segur,MECS Millau I Association Millau Segur,15.0,Accueil mixte
PACA,Bouches du Rhône,Hébergement,Moissons Nouvelles,Service d'éducation spécialisée et de soins à domicile Saint-Yves I Moissons Nouvelles,,"L’internat, ouvert du lundi au vendredi, est organisé en 4 groupes de 8 à 10 jeunes dont un groupe externalisé à Luynes. Par ailleurs, nous avons un semi internat mixte de 7 enfants.
Nombre de places : 15"
Bourgogne Franche Comté,Jura,Hébergement,La VAGA,AE I La VAGA,13.0,"
1 maison à Villers-Farlay pour 13 enfants de 6 à 18 ans
"
Pays de la Loire,Loire Atlantique,Hébergement,ADAES 44,MECS les Amarres I ADAES 44,15.0,"accueille 15 jeunes filles ou garçons, âgés de 13 à 21 ans"
Auvergne Rhône Alpes,Rhone,Placement à Domicile,Acolea,Placement externes Appart'é I Acolea,15.0,15 mineurs sont accompagnés en placement à domicile.
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE Le 43 I Acolea,15.0,Le service du 43 situé à Lyon 5ème propose l’accompagnement de 15 jeunes ; garçons et filles de 16 à 18 ans confiés à l’A.S.E.
